"A1001","ADARSHA VIDYAMANDIR"
"G3089","BADANGANJ SRI SRI SARADAMONI GIRLS HIGH SCHOOL"
"G3090","BAJUA GIRLS HIGH SCHOOL"
"G3091","BALI DEWANGANJ SARADAMONI BALIKA VIDYALAYA"
"G3092","BATANAL UPENDRA SMRITI NARI SIKSHANIKETAN"
"G3093","BHANGAMORA SARADAMONI BALIKA VIDYALAYA"
"G3094","GOGHAT BHAGABATI BALIKA VIDYALAYA"
"G3095","GOURHATI DURGADAS BALIKA VIDYALAYA"
"G3096","HELAN SARADAMONI BALIKA VIDYALAYA"
"G3097","KHANAKUL KRISHNAVAMINI BALIKA VIDYALAYA"
"G3099","RAJHATI JNANADA BALIKA VIDYALAYA"
"G3100","TANTISAL NABANALINI  GIRLS HIGH SCHOOL"
"G3101","THAKURANICHAK BALIKA VIDYALAYA(HIGH)"
"G3102","PIRIJPUR HAMID ANNESA VIDYAPITH"
"G3103","RIYA KALIPADA HIGH SCHOOL"
"G3104","KUMURSHA SITAL CH DE VIDYAMANDIR"
"G3105","PASCHIMPARA R K VIDYABHABAN"
"G3107","PASCHIM GHOSHPUR R K BIDYAPITH"
"G3109","GHORADAHA S C HIGH SCHOOL"
"G3110","RAMMOHAN BALIKA VIDYALAYA"
"G3111","SODEPUR HIGH SCHOOL"
"G3112","PURSURAH GIRLS HIGH SCHOOL"
"G3113","POLE P C SEN INSTITUTION"
"G3114","RAGHUNATHPUR SARADAMONI BALIKA VIDYALAYA"
"G3115","KHATUL SHIBA DURGA HIGH SCHOOL"
"G3116","AMDOBA SREE CHARAN BHANDARY HIGH SCHOOL"
"G3117","KULBATPUR HIGH SCHOOL"
"G3118","MADHURPUR HIGH SCHOOL"
"G3119","TELUA SIKSHANIKETAN"
"G3120","GHASUA JANATA HIGH SCHOOL"
"G3121","SALEPUR SANTOSH SADHARAN VIDYAPITH"
"G3122","KAILASH CHANDRA SADHUKHAN HIGH SCHOOL"
"G3123","KAMARPUKUR NAYANTARA BALIKA VIDYALAYA(HIGH SCHOOL)"
"G3124","JAYRAMPUR NETAJI HIGH SCHOOL"
"G3125","MUTHADANGA NIVEDITA GIRLS' HIGH SCHOOL"
"G3126","TARAHAT SARADAMONI HIGH SCHOOL"
"G3127","HARUA HIGH SCHOOL"
"G3128","THAKURANI CHAK BENOY BADAL DINESH HIGH SCHOOL"
"G3129","PURBA AMARPUR NAGENDRA UPENDRA VIDYANIKETAN(HIGH SCHOOL)"
"G3130","UDAYPUR NAGENDRA VIDYANIKETAN(HIGH SCHOOL)"
"G3131","KARUI P C HIGH SCHOOL"
"G3132","UDAYRAJPUR HIGH SCHOOL"
"G3133","KANTALI HIGH SCHOOL"
"G3134","MAGRI JATINDRANATH HARIJON HIGH SCHOOL"
"G3135","KEDARPUR HIGH SCHOOL"
"G3136","KOTA KASHINATH HIGH SCHOOL"
"G3137","CHUADANGA HIGH SCHOOL"
"G3138","MAIGRAM HIGH SCHOOL"
"G3139","PURBA THAKURANICHAK RABINDRA VIDYAYATAN(HIGH)"
"G3140","RAMCHANDRAPUR ADARSHA VIDYA BHAWAN(HIGH SCHOOL)"
"G3141","KESHABPUR HIGH SCHOOL"
"G3142","RADHABALLAVPUR HIGH SCHOOL"
"G3143","SANKARPUR BASED ALI INSTITUTION(HIGH SCHOOL)"
"G3144","GHOSHPUR PALLISHREE GIRLS' HIGH SCHOOL"
"G3145","SINGRAPUR HIGH SCHOOL"
"G3146","BENGAI KAMINI DEVI GIRLS' HIGH SCHOOL"
"G3147","PABA SATISH CHANDRA PAUL HIGH SCHOOL"
"G3148","SWAMI DEBANANDA VIDYAMANDIR(HIGH SCHOOL)"
"G3149","KRISHNANAGAR RAMMOHAN BALIKA VIDYALAYA(HIGH SCHOOL)"
"G3150","BENGAI GIRLS' HIGH SCHOOL"
"G3151","RATANPUR S C PAL HIGH SCHOOL"
"G3152","ANUR BISHALAKSHI HIGH SCHOOL FOR GIRLS"
"G3153","SHYAMBATI RAMESWAR HIGH SCHOOL"
"G3154","SUNIA KSHUDIRAM VIDYABHABAN(HIGH SCHOOL)"
"G3155","GOLPUR SARADAMONI HIGH SCHOOL"
"G3156","ADARSHA SIKSHANIKETAN (HIGH SCHOOL)"
"G3157","DURGAPUR HIGH SCHOOL"
"G3158","RAIBAR H A L INSTITUTION(HIGH SCHOOL)"
"G3159","BALPAI PRAFULLA CHANDRA SEN VIDYAMANDIR(HIGH SCHOOL)"
"G3160","PARCHABBISPUR HIGH SCHOOL"
"G3161","PANCHPUKUR HIGH SCHOOL"
"G3162","GOURAN HIGH SCHOOL"
"G3163","ARUNDA HIGH SCHOOL"
"G3164","CHALTAPUR HIGH SCHOOL"
"G4001","ANANDANAGAR ANANDA CHARAN ROY HIGH SCHOOL"
"G4002","ANANDANAGAR RAMANATH HIGH SCHOOL"
"G4003","BAHIRKHAND GIRISH INSTITUTION"
"G4004","BALIGORI ADHARMONI DUTTA VIDYAMANDIR"
"G4005","BANDIPUR HIGH  SCHOOL"
"G4006","BARUIPARA RAKHAL VIDYAPITH"
"G4007","BASUDEVPUR VIDYAMANDIR"
"G4008","BERABERI SURYYANARAYAN MEMORIAL HIGH SCHOOL"
"G4009","BHADRESWAR RABINDRA SMRITY VIDYANIKETAN"
"G4010","BHANJIPUR DESHABANDHU VIDYANIKETAN HIGH"
"G4011","BIGHATI KISHORI  MOHAN HIGH SCHOOL"
"G4012","BORA MADHUSUDAN HIGH SCHOOL"
"G4013","CHAMPADANGA HIGH SCHOOL"
"G4014","CHAMPDANI ADARSHA SHARAMIK VIDYAMANDIR"
"G4015","CHAMPDANI ARYA VIDYAPITH"
"G4016","CHAMPDANI NIBARAN MUKHOPADHYAY VIDYAMANDIR"
"G4017","CHANDERNAGORE DR.SITAL PROSAD GHOSH ADARSHA SIKSHALAYA"
"G4018","CHANDERNAGORE BANGA VIDYALAYA"
"G4019","CHANDERNAGORE DURGA CHARAN RAKSHIT BANGA VIDYALAYA"
"G4020","CHANDERNAGORE KANAILAL VIDYAMANDIR"
"G4021","CHANDERNAGORE PRABARTAK BIDHYARTHI BHAVAN"
"G4022","CHANDERNAGORE SREE SIKSHANIKETAN HIGH SCHOOL"
"G4023","CHANDERNAGORE SRI AUROBINDO VIDYAMANDIR"
"G4024","DAULATPUR DALUIGACHA BHARATI VIDYALAYA"
"G4025","DEWANBHERI PAIRAURAH HIGH SCHOOL"
"G4026","DIGRA MALLICKHATI DESHBANDHU VIDYAPITH"
"G4027","DWARHATTA RAJESWARI INSTITUTION"
"G4028","FAIZ AHMED FAIZ URDU HIGH SCHOOL"
"G4029","GOBINDAPUR PURNACHANDRA VIDYAYATAN"
"G4030","GOPALNAGAR HIGH SCHOOL"
"G4031","GOPALNAGORE KUMUD RANJAN DEY HIGH SCHOOL"
"G4032","GOPINATHPUR HIGH SCHOOL"
"G4033","HAKIMPUR TUSTUCHARAN HIGH SCHOOL"
"G4034","HARIPAL GURUDAYAL INSTITUTION"
"G4035","HARISHNAGAR HIGH SCHOOL"
"G4036","JAJUR HIGH SCHOOL"
"G4037","KAIKALA HIGH SCHOOL"
"G4038","KHALISANI VIDYAMANDIR"
"G4039","KHURIGACHI HIGH SCHOOL"
"G4040","KINKARBATI AGRICULTURAL INSTITUTION"
"G4041","KSHUDRARAMPUR HIGH SCHOOL"
"G4042","MADHUBATI SURABALA VIDYAMANDIR"
"G4043","MAHADANGA COLONY SUBHAS VIDYAMANDIR"
"G4044","MOHESHPUR HIGH SCHOOL"
"G4045","MOHISTIKARI B.S.M.HIGH SCHOOL"
"G4046","MOZEPUR BHARATI VIDYAMANDIR"
"G4047","MUKTARPUR HIGH SCHOOL"
"G4048","NACHIPUR M N A C BIDYAMANDIR HIGH SCHOOL"
"G4049","NALIKUL DESHBANDHU BANIMANDIR"
"G4050","NARUA SIKSHANIKETAN"
"G4051","NASIBPUR HIGH SCHOOL"
"G4052","NASKARPUR HIGH SCHOOL"
"G4053","NAWPARA HIGH SCHOOL"
"G4055","PALARAH RAMKRISHNA VIDYANIKETAN"
"G4056","PALTAGARH RADHARANI SIKSHAMANDIR"
"G4057","RAMNAGAR NOOTBEHARI PAL CHOWDHURY HIGH SCHOOL"
"G4058","SANTIPUR BHABENDRA INSTITUTION"
"G4059","SHYAM SUNDAR CHILDREN'S HIGH SCHOOL"
"G4060","SINGUR MAHAMAYA HIGH SCHOOL"
"G4061","SRIRAMPUR RADHARANI VIDYAMANDIR"
"G4062","TALPUR PATHSALA"
"G4063","TARAKESWAR HIGH SCHOOL"
"G4064","TELINIPARA BHADRESWAR HIGH SCHOOL"
"G4065","BANDIPUR GIRLS HIGH SCHOOL"
"G4066","BHADRESWAR DHARMATALA GIRLS HIGH SCHOOL"
"G4067","BHADRESWAR SARADA PALLI KANYA VIDYAPITH FOR GIRLS"
"G4068","BORA MADHUSUDAN BALIKA VIDYALAYA"
"G4069","BORAI BALIKA VIDYAMANDIR"
"G4070","CHAMPADANGA BIJOYKRISHNA UCHHA BALIKA VIDYALAYA"
"G4071","CHAMPDANI BAIDYANATH ADHYA BALIKA VIDYABHABAN"
"G4072","CHAMPDANI NIBARAN MUKHOPADHYAY VIDYAMANDIR FOR GIRLS"
"G4073","CHANDERNAGORE INDUMATI GIRLS HIGH SCHOOL"
"G4074","CHANDERNAGORE KRISHNA BHABINI NARI SIKSHA MANDIR"
"G4075","CHANDERNAGORE LALBAGAN BALIKA VIDYALAYA"
"G4076","CHANDERNAGORE PRABARTAK NARI MANDIR GIRLS HIGH SCHOOL"
"G4077","CHANDERNAGORE SARADA SADHAN VIDYALAYA FOR GIRLS"
"G4078","CHANDERNAGORE ST. ANTHONY'S SCHOOL FOR GIRLS"
"G4079","CHANDERNAGORE USHANGINI BALIKA VIDYALAYA"
"G4080","DWARHATTA RAJESWARI GIRLS HIGH SCHOOL"
"G4081","HARIPAL TIRTHABASI GIRLS HIGH SCHOOL"
"G4082","HARISHNAGAR HARIPRIYA BALIKA VIDYALAYA"
"G4083","JAJUR KARUNAMOYEE MUKHOPADHYAY BALIKA VIDYALAYA"
"G4084","KHALISANI NARI SIKSHA MANDIR"
"G4085","NALIKUL BALIKA VIDYALAYA"
"G4086","NARUA BHOLANATH DAS BALIKA VIDYALAYA"
"G4087","SINGUR GOLAPMOHINI MALLICK GIRLS HIGH SCHOOL"
"G4088","SRIRAMPUR MADHUBATI BIJANBEHARI BALIKA VIDYALAYA"
"G4089","TARAKESWAR GIRLS HIGH SCHOOL"
"G4090","TELINIPARA BHADRESWAR GIRLS HIGH SCHOOL"
"G4091","MAJINAN NABA VIDYALAYA HIGH SCHOOL"
"G4092","BINAGRAM HIGH SCHOOL"
"G4093","GOSWAMI MALIPARA GIRLS HIGH SCHOOL"
"G4094","DAULATPUR DALUIGACHA BHARATI VIDYALAYA (GIRLS)"
"G4095","INCHURA RAISAHEB HARADHAN CH ADIBASI VIDYAMANDIR"
"G4096","GONDALPARA SASTRI HINDI HIGH SCHOOL"
"G4097","BIRAJMOHINI HIGH SCHOOL"
"G4098","TALPUR LAKSHIMONI BALIKA VIDYAMANDIR"
"G4100","JAMAIBATI HIGH SCHOOL"
"G4101","NANDA HARIMATI HIGH SCHOOL"
"G4102","JARURA SIKSHANIKETAN"
"G4103","NARAYANPUR BALIKA VIDYALAYA"
"G4104","RAMNARAYANPUR ADHAR CHANDRA SMRITI VIDYANIKETAN(HIGH SCHOOL)"
"G4105","SANTOSHPUR BISHALAKSHI UCHCHA BALIKA VIDYAMANDIR HIGH SCHOOL"
"G4106","TELINIPARA MAHATMA GANDHI VIDYAPITH HIGH SCHOOL"
"G4107","GAZA HIGH SCHOOL"
"G4108","KAMALAPUR HIGH SCHOOL"
"G4109","GOPALNAGAR MENOKA SUNDARI GIRLS' HIGH SCHOOL"
"G4110","MOULANA AZAD URDU HIGH SCHOOL(CO-ED)"
"G4111","BIKASH BHARATI BLOOMS DAY SCHOOL(HIGH SCHOOL)"
"G4112","RAMNAGAR VIDYASAGAR BALIKA VIDYALAYA(HIGH SCHOOL)"
"G4113","SASHI BHUSAN HAZRA HIGH SCHOOL"
"G4114","RISHI AUROBINDO BALKENDRAM,VIDYALANKA (HIGH SCHOOL)"
"G4115","BARUIPARA AVARANMOYEE BALIKA VIDYALAYA(HIGH SCHOOL)"
"G4116","CHANDERNAGORE KANAILAL VIDYAMANDIR(FRENCH SEC)(HIGH SCHOOL)"
"G4117","CHAMPDANI RAM DULARI HINDI HIGH SCHOOL"
"G4118","GOURIBATI RADHARANI DAS HIGH SCHOOL"
"G4119","MOULANA ABDUL WALI SCHOOL(HIGH)"
"G4120","THE STARLAND ENGLISH MEDIUM SCHOOL(HIGH)"
"G4121","DHANYAHANA HIGH SCHOOL"
"G5001","GOPALPUR HIGH SCHOOL"
"G5002","BHITASIN GIRLS HIGH SCHOOL"
"H1001","ADRAHATI BANWARILAL SADHARAN SIKSHANIKETAN"
"H1002","AJHAPUR HIGH SCHOOL"
"H1003","AKLAKHI HIGH SCHOOL"
"H1004","AMADPUR HIGH SCHOOL"
"H1005","AMARARGARH HIGH SCHOOL"
"H1006","AMARPUR BIMALA AGRICULTURAL INSTITUTION"
"H1007","AMARUN STATION SIKSHANIKETAN"
"H1008","ANGUNA BHUDEB MEMORIAL HIGH SCHOOL"
"H1009","ARUAR BHUBAN MOHAN DUTTA PUBLIC INSTITUTION"
"H1010","ARUI ANCHALIK AHARCHANDI VIDYAPITH"
"H1011","AUSGRAM HIGH SCHOOL"
"H1013","BAGILA PURNA CHANDRA SMRITI VIDYAMANDIR"
"H1014","BAJE KUMARPUR HIGH SCHOOL"
"H1015","BALGONA HIGH SCHOOL"
"H1016","BAMSHORE HIGH SCHOOL"
"H1017","BAMUNARA LAKSHMAN CHANDRA DE PUBLIC INSTITUTION"
"H1018","BAMUNIA HIGH SCHOOL"
"H1019","BAN NABAGRAM HIGH SCHOOL"
"H1020","BANPAS SIKSHANIKETAN"
"H1021","BARA BAINAN UNION SAMABAYA KRISHI SAMITY SIKSHANIKETAN"
"H1022","BARABELUN MOHINI MOHAN VIDYAMANDIR"
"H1023","BARANILPUR ACHARYA DURGA PRASANNA VIDYAMANDIR"
"H1024","BARAPALASON HIGH SCHOOL"
"H1025","BARDHAMAN BANIPITH HIGH SCHOOL"
"H1026","BARDHAMAN BIDYARTHI BHABAN HIGH SCHOOL"
"H1027","BARISALI HIGH SCHOOL"
"H1028","BARSUL C D P HIGH SCHOOL"
"H1029","BASUDA SRI SRI R K VIDYAPITH"
"H1030","BATASPUR HIGH SCHOOL"
"H1031","BEGUT JAHNABI HIGH SCHOOL"
"H1032","BELAN BELLESWAR HIGH SCHOOL"
"H1033","BELARI HIGH SCHOOL"
"H1034","BELKASH PANCHANAN PUBLIC INSTITUTION"
"H1035","BERUGRAM A G C B VIDYAPITH"
"H1036","BHAITA HARIDAS KAR HIGH SCHOOL"
"H1037","BHANDARDIHI PANCHKARIBALA VIDYAMANDIR"
"H1038","BHATAKUL SWARNAMOYEE HIGH SCHOOL"
"H1039","BHATAR MADHAB PUBLIC HIGH SCHOOL"
"H1040","BHEDIA HIGH SCHOOL"
"H1041","BHENPUR MERUAL SHYAMSUNDARPUR PUBLIC INSTITUTION"
"H1042","BHITA M P INSTITUTION"
"H1043","BHURI DWIJAPADA JNANMAYEE HIGH SCHOOL"
"H1044","BIJIPUR HIGH SCHOOL"
"H1045","BIJOYPUR PALSONA HIGH SCHOOL"
"H1046","BILLAGRAM HIGH SCHOOL"
"H1047","BITRA HIGH SCHOOL"
"H1048","BOHAR HIGH SCHOOL"
"H1049","BONSUJAPUR HIGH SCHOOL"
"H1050","BORO BALARAM LALBEHARI VIDYAMANDIR"
"H1051","BOWAI HIGH SCHOOL"
"H1052","BUJRUK DIGHI HIGH SCHOOL"
"H1053","BURDWAN C M S HIGH SCHOOL (DAY)"
"H1054","BURDWAN C M S HIGH SCHOOL (MORNING)"
"H1055","BURDWAN DUBRAJ DIGHI HIGH SCHOOL"
"H1056","BURDWAN MUNICIPAL HIGH SCHOOL"
"H1057","BURDWAN NEHRU VIDYAMANDIR"
"H1058","BURDWAN RAILWAY VIDYAPITH"
"H1059","BURDWAN RAJ COLLEGIATE SCHOOL"
"H1060","BURDWAN SIBAKUMAR HARIJAN VIDYALAYA"
"H1061","BURDWAN SRI RAMASHIS HINDI HIGH SCHOOL"
"H1062","BURDWAN SRI RAMKRISHNA SARADAPITH HIGH SCHOOL"
"H1063","BURDWAN SRI RAMKRISHNA SARADAPITH UCHCHA VIDYALAYA"
"H1064","BURDWAN TOWN SCHOOL"
"H1065","CHAGRAM HIGH SCHOOL"
"H1066","CHAKCHANDAN DURGADAS HIGH SCHOOL"
"H1067","CHAKDIGHI SARADAPRASAD INSTITUTION"
"H1068","CHAKSHANJADI GOLAM MOHAMMAD INSTITUTION"
"H1069","CHANCHAI PALLA T A HIGH SCHOOL"
"H1070","CHAWK BALARAM KANAK PROVA HIGH SCHOOL"
"H1071","CHHOTOBAINAN HIGH SCHOOL"
"H1072","DEBIPUR ADARSHA HIGH SCHOOL"
"H1073","DEBIPUR STATION HIGH SCHOOL"
"H1074","DEYASA ALIGRAM BRAJABALA SADHARAN UCHCHA VIDYALAYA"
"H1075","DIGNAGAR HATTALA SILVER JUBILEE INSTITUTION"
"H1076","DUBRAJHAT BERUGRAM HIGH SCHOOL"
"H1077","DUTTAPARA BHUBANESWARI HIGH SCHOOL"
"H1078","ERAL ANCHAL HIGH SCHOOL"
"H1079","FARIDPUR JATIYA UCHCHA VIDYALAYA"
"H1080","GOLIGRAM HIGH SCHOOL"
"H1081","GALSI HIGH SCHOOL"
"H1082","GALSI KALIMATI DEBI H SCHOOL"
"H1083","GANTAR B M HIGH SCHOOL"
"H1084","GENRAI HIGH SCHOOL"
"H1085","GOLGRAM GOLAM IMAM HIGH SCHOOL"
"H1086","GOPALBERA HIGH SCHOOL"
"H1087","GOPALPUR MUKTAKESHI VIDYALAYA"
"H1088","GOTAN SUBODH MEMORIAL HIGH SCHOOL"
"H1089","GOVINDAPUR HIGH SCHOOL"
"H1090","GUSHKARA PURNANANDA PUBLIC INSTITUTION"
"H1091","HAT GOBINDAPUR MANGOBINDA CHOWDHURY HIGH SCHOOL"
"H1092","HURIA PUBLIC HIGH SCHOOL"
"H1093","ICHLABAD HIGH SCHOOL"
"H1094","ILSARA SURENDRANATH HIGH SCHOOL"
"H1095","IRKONA BASANTA KUMAR ASH VIDYAPITH"
"H1096","JAGDABAD SASHI BHUSAN HIGH SCHOOL"
"H1097","JAMALPUR HIGH SCHOOL"
"H1098","JAMTARA HIGH SCHOOL"
"H1099","JAUGRAM HIGH SCHOOL"
"H1100","JHAPANDANGA PARESNATH VIDYAMANDIR"
"H1101","JHARUL HIGH SCHOOL"
"H1102","JHIKARDANGA SRI SRI RAMKRISHNA HIGH SCHOOL"
"H1103","JOTERAM VIDYAPITH"
"H1104","JOTSADI HIGH SCHOOL"
"H1105","JOTSRIRAM HIGH SCHOOL"
"H1106","JOY KRISHNAPUR HIGH SCHOOL"
"H1107","JUBILA PRAGATI VIDYANIKETAN"
"H1108","KADRA ATUL KRISHNA HIGH SCHOOL"
"H1109","KAITI NIBARAN CHANDRA HIGH SCHOOL"
"H1110","KALIGRAM HIGH SCHOOL"
"H1111","KALNA KANSRA HIGH SCHOOL"
"H1112","KAMARGORIA RASHBEHARI BASU SIKSHANIKETAN(HIGH)"
"H1113","KAMARHATI SIKSHANIKETAN HIGH SCHOOL"
"H1114","KANCHANNAGAR D N DAS HIGH SCHOOL"
"H1115","KELETI G A VIDYAPITH"
"H1116","KENDUR HIGH SCHOOL"
"H1117","KHAJA ANOWAR SAHID BERH HIGH SCHOOL"
"H1118","KHANDAGHOSH HIGH SCHOOL"
"H1119","KHANO HIGH SCHOOL"
"H1120","KHORAD AMENA HIGH SCHOOL"
"H1121","KISHORE KONA NABAGRAMI ADARSHA VIDYALAYA"
"H1122","KOLEYPARA KANTHALGACHI HIGH SCHOOL"
"H1123","KORAR RADHA KISHORE HIGH SCHOOL"
"H1124","KRISHNAPUR HIGH SCHOOL"
"H1125","KSHETIA HIGH SCHOOL"
"H1126","KUCHUT PRIYAGOPAL CHOWDHURY HIGH SCHOOL"
"H1127","KUKURA ANILABALA HIGH SCHOOL"
"H1128","KUMIR KOLA HIGH SCHOOL"
"H1129","KURHMUN HIGH SCHOOL"
"H1130","KURUMBA HIGH SCHOOL"
"H1131","LAKURDI VIDYAMANDIR HIGH SCHOOL"
"H1132","LOHAI SAMMILANI VIDYANIKETAN"
"H1133","LOWA DIBAKAR VIDYAMANDIR"
"H1134","MACHKHANDA HIGH SCHOOL"
"H1135","MAHACHANDA VIVEKANANDA SIKSHAPRATISTHAN"
"H1136","MAHATA HIGH SCHOOL"
"H1137","MANDALGRAM HIGH SCHOOL"
"H1138","MANJULA T P C VIDYANIKETAN"
"H1139","MANKAR HIGH SCHOOL"
"H1140","MASAGRAM HIGH SCHOOL"
"H1141","MEMARI VIDYASAGAR MEMORIAL INSTITUTION (UNIT 1)"
"H1142","MEMARI VIDYASAGAR MEMORIAL INSTITUTION (UNIT 2)"
"H1143","MERAL SATISH CHANDRA PUBLIC INSTITUTION"
"H1144","MITHAPUR SRI DURGA HIGH SCHOOL"
"H1145","MOHANPUR HIGH SCHOOL"
"H1146","MOHANPUR NOWHATI SHAH REAZUDDIN SMRITI VIDYALAYA"
"H1147","NABAGRAM MOYNA PULIN BEHARI HIGH SCHOOL"
"H1148","NABASTHA HIGH SCHOOL"
"H1149","NARI SANTANU GHOSH MEMORIAL HIGH SCHOOL"
"H1150","NARUGRAM HIGH SCHOOL"
"H1151","NRISINGHAPUR HIGH SCHOOL"
"H1152","NUDIPUR B S VIDYAMANDIR"
"H1153","OARI HIGH SCHOOL"
"H1154","ORGRAM HIGH SCHOOL"
"H1155","PAHALANPUR HIGH SCHOOL"
"H1156","PAHARHATI GOLAPMANI HIGH SCHOOL"
"H1157","PAINTA JAGAT MOHAN HIGH SCHOOL"
"H1158","PALASHAN MRINALINI MEMORIAL HIGH SCHOOL"
"H1159","PALLA A C N SMRITI BIDYAPITH"
"H1161","PANCHAPALLI MONAICHANDI VIDYAMANDIR"
"H1162","PANCHRA SAGAR CHANDRA RAKSHIT SMRITI VIDYAMANDIR"
"H1163","PARAJ HITLAL BANI MANDIR HIGH SCHOOL"
"H1164","PARBATPUR HIGH SCHOOL"
"H1165","PRATAPPUR DANGAPARA HIGH SCHOOL"
"H1166","PUBAR PANDUK DINANATHPUR HIGH SCHOOL"
"H1167","PURATANGRAM HIGH SCHOOL"
"H1168","PURSA HIGH SCHOOL"
"H1169","RADHAKANTAPUR  HIGH SCHOOL"
"H1170","RAI RAMCHANDRAPUR NIRODBARAN VIDYAPITH"
"H1171","RAINA SWAMI BHOLANANDA VIDYAYATAN"
"H1172","RAIPUR KASIARA HIGH SCHOOL"
"H1173","RAMGOPALPUR HIGH SCHOOL"
"H1174","RAMNAGAR HIGH SCHOOL"
"H1175","RAMPUR HIGH SCHOOL"
"H1176","RASULPUR BHUBANMOHAN HIGH SCHOOL"
"H1177","RATHTALA MANOHARDAS VIDYANIKETAN"
"H1178","RAYAN HIGH SCHOOL"
"H1179","SADHANPUR VIVEKANANDA HIGH SCHOOL"
"H1180","SADIPUR DHARMADAS SINHA SMRITI VIDYANIKETAN"
"H1181","SADYA HIGH SCHOOL"
"H1182","SAHEBGANJ HIGH SCHOOL"
"H1183","SAKNARA HIGH SCHOOL"
"H1184","SAMANTI HIGH SCHOOL"
"H1185","SANCHARA HIGH SCHOOL"
"H1186","SANKARI HIGH SCHOOL"
"H1187","SANKO CHANDRASEKHAR HIGH SCHOOL"
"H1188","SANKTIA HIGH SCHOOL"
"H1189","SARANGA HIGH SCHOOL"
"H1190","SARGACHI HIGH SCHOOL"
"H1191","SASANGA HIGH SCHOOL"
"H1192","SASHINARA HIGH SCHOOL"
"H1193","SATGACHIA SRIDHARPUR ABINASH INSTITUTION"
"H1194","SATINANDI VIDYAYATAN"
"H1195","SEHARA BAZAR CHANDRA KUMAR INSTITUTION"
"H1196","SELIMABAD HIGH SCHOOL"
"H1197","SERORAI ALIJAN MALLICK HIGH SCHOOL"
"H1198","SHYAMSUNDAR RAMLAL ADARSHA VIDYALAYA"
"H1199","SILUT BASANTAPUR HIGH SCHOOL"
"H1200","SIMDALI THAKAMANI HIGH SCHOOL"
"H1201","SIPTAI MAHULA S R INSTITUTION"
"H1202","SONTLA MOHISDANGA HIGH SCHOOL"
"H1203","SRIRAMPUR HIGH SCHOOL"
"H1204","SURA KALITALA HIGH SCHOOL"
"H1205","SUSHILA JAGNESWAR PUBLIC HIGH SCHOOL"
"H1206","SUSUNDIGHI H P HIGH SCHOOL"
"H1207","TALIT GOURESWAR HIGH SCHOOL"
"H1208","TEJGANJ HIGH SCHOOL"
"H1209","TORKONA JAGABANDHU HIGH SCHOOL"
"H1210","UCHALAN HIGH SCHOOL"
"H1211","UCHCHAGRAM HIGH SCHOOL"
"H1212","UKHRID HIGH SCHOOL"
"H1213","UKTA PICHKURI HIGH SCHOOL"
"H1214","AJHAPUR BALIKA VIDYALAYA"
"H1215","AMADPUR GIRLS HIGH SCHOOL"
"H1216","ARUAR HONSESWARI DEVI SADHARAN BALIKA VIDYALAYA"
"H1217","BAIDYADANGA GIRLS HIGH SCHOOL"
"H1218","BARABELUN DEBIBALA BALIKA VIDYALAYA"
"H1219","BARAPALASHON GIRLS HIGH SCHOOL"
"H1220","BARDHAMAN BIDYARTHI BHABAN GIRLS HIGH SCHOOL"
"H1222","BHARATI BALIKA VIDYALAYA"
"H1223","BHATAR GIRLS HIGH SCHOOL"
"H1224","BHEDIA GIRLS HIGH SCHOOL"
"H1225","BOHAR GIRLS HIGH SCHOOL"
"H1226","BURDWAN BANIPITH GIRLS HIGH SCHOOL"
"H1227","BURDWAN HARISAVA HINDU GIRLS HIGH SCHOOL (DAY)"
"H1228","BURDWAN HARISAVA HINDU GIRLS HIGH SCHOOL MORNING"
"H1229","BURDWAN MAHARANI ADHIRANI GIRLS HIGH SCHOOL"
"H1230","BURDWAN MUNICIPAL GIRLS HIGH SCHOOL"
"H1231","BURDWAN NIBEDITA KANYA VIDYALAYA"
"H1232","BURDWAN RAILWAY BALIKA VIDYAPITH"
"H1233","BURDWAN SADHUMATI BALIKA SIKSHA SADAN(H S)"
"H1234","CHAKDIGHI GIRLS HIGH SCHOOL"
"H1235","DEBIPUR STATION GIRLS HIGH SCHOOL"
"H1236","GALSI SARADA VIDYAPITH GIRLS HIGH SCHOOL"
"H1237","GUSHKARA BALIKA VIDYALAYA"
"H1238","HATKIRTINAGAR BALIKA VIDYALAYA"
"H1239","JAMALPUR GIRLS HIGH SCHOOL"
"H1240","JHAPANDANGA SABITRI DEVI BALIKA VIDYALAYA"
"H1241","MEMARI RASIKLAL SMRITI  BALIKA VIDYALAYA"
"H1242","NASIGRAM GIRLS HIGH SCHOOL"
"H1243","PAHARHATI BABURAM GIRLS HIGH SCHOOL"
"H1244","PAINTA PANNARANI BALIKA VIDYALAYA"
"H1245","PALLA ROAD GIRLS HIGH SCHOOL"
"H1246","RAINA JAGATMATA ANCHALIK BALIKA VIDYALAYA"
"H1247","RATHTALA MONOHARDAS BALIKA VIDYALAYA"
"H1248","SAKTIGARH GIRLS HIGH SCHOOL"
"H1249","SEHARA BAZAR RADHARANI BALIKA VIDYALAYA"
"H1251","BALGONA SARADAMONI BALIKA VIDYALAYA"
"H1252","SUKUR H P INSTT"
"H1253","ICHLABAD VIVEKANANDA BALIKA VIDYALAYA"
"H1254","JARAGRAM HIGH SCHOOL"
"H1255","AMRAH HIGH SCHOOL"
"H1256","NARAYANPUR HIGH SCHOOL"
"H1257","CHOTOBELUN HIGH SCHOOL"
